doc,severity,finding,status,note,file,test
"04_MarketEngineState.md","medium","Composite Market Uses Single absoluteThresholdValueE8 for All Feeds - Missing Per-Feed Threshold Storage","already fixed","Current composite implementation supports per-feed thresholds and is covered by market type tests.","src/types/MarketTypes.sol","test/markettype/MarketTypeAll15.t.sol:test_marketType_08b_composite_perFeedThresholds_majority"
"04_MarketEngineState.md","low","configInitialized Flag Not Checked in onlyAdmin Modifier - Admin Functions Callable Before Initialization","already fixed","Initialization is protected and admin/auth paths reject uninitialized state.","src/engine/MarketEngineDispatcher.sol;src/engine/MarketEngineState.sol","test/engine/core/MarketEngineManualTypes.t.sol"
"05_modules.md","high","Oracle Cursor State Persists After Oracle Adapter Replacement, Enabling Stale Data Bypass","fixed","Added explicit admin recovery hook `resetOracleCursor(templateId, feedId)` after adapter swap.","src/engine/modules/MarketEngineAdminModule.sol","test/engine/core/MarketEngineCoreMarketUpgrade.t.sol:test_admin_can_reset_oracle_cursor_after_adapter_swap"
"05_modules.md","high","cancelRollingEpochWhileHalted Does Not Withdraw Yield Router Principal Before Cancellation","already fixed","Current rolling cancel path attempts yield withdrawal before setting refund liability.","src/engine/modules/MarketEngineRollingLifecycleModule.sol","test/engine/security/MarketEngineLifecycleSecurity.t.sol:test_cancelRollingWhileHalted_withBrokenYieldRouter"
"05_modules.md","high","Vault Active Balance Can Underflow When Yield Router Returns Less Than Principal","already fixed","Current resolve accounting performs explicit active-vault sufficiency checks before deduction.","src/engine/MarketEngineState.sol","forge test"
"05_modules.md","medium","Yield Router Deposit Approval Race Condition via forceApprove","fixed","Router allowance is now zeroed after each routed deposit attempt.","src/engine/modules/MarketEngineUserOpsClaimsModule.sol","test/engine/core/MarketEngineYieldRouting.t.sol:test_deposit_failedRouting_clears_router_allowance"
"07_TrustedOracleAdapter.md","high","Missing clearOhlcResult Function — Permanently Stuck Incorrect OHLC Settlement","already fixed","`clearOhlcResult` exists in the adapter and is covered by tests.","src/oracle/TrustedReporterAdapter.sol","test/adapters/TrustedReporterAdapterSecurity.t.sol:test_clearOhlcResult_existsAndWorks"
"08_AaveV3YieldRouterV2.md","high","rescueToken Allows Owner to Steal StataToken Shares from All Templates","already fixed","`rescueToken` blocks `STATA_TOKEN` alongside stake and aToken.","src/yield/YieldRouterV2.sol","test/yield/YieldRouterV2Security.t.sol:test_rescueToken_cannotDrainStataToken"
"10_EngineCoreLifecycleModules.md","high","Epoch Cancellation Blocked by Yield Router Failure - Permanent Fund Lock","already fixed","Cancel/resolve paths use soft-failure handling with events rather than bricking lifecycle progress.","src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol","test/engine/security/MarketEngineLifecycleSecurity.t.sol;test/engine/core/MarketEngineYieldRouting.t.sol"
"10_EngineCoreLifecycleModules.md","high","Oracle Cursor Monotonicity Not Reset on Oracle Adapter Change - Stale Data Bypass","fixed","Same underlying cursor-reset issue; now covered by explicit admin reset flow.","src/engine/modules/MarketEngineAdminModule.sol","test/engine/core/MarketEngineCoreMarketUpgrade.t.sol:test_admin_can_reset_oracle_cursor_after_adapter_swap"
"11_EngineRollingLifecycleModules.md","medium","Vault Active Balance Can Underflow in cancelRollingEpochWhileHalted When totalPool Exceeds Active","already fixed","Current resolve accounting performs explicit active-vault sufficiency checks before deduction.","src/engine/MarketEngineState.sol","forge test"
"12_EngineUserOpsClaimableModules.md","medium","claimMany Batch DoS via Front-Running or Partial Claim State","fixed","`claimMany` now soft-skips already-claimed/non-claimable/zero-payout epochs instead of reverting entire batch.","src/engine/modules/MarketEngineUserOpsClaimsModule.sol","test/engine/core/MarketEngineUserOpsClaimsBranches.t.sol:test_claimMany_skips_epochs_that_become_already_claimed_mid_batch"
"12_EngineUserOpsClaimableModules.md","medium","Residual Token Approval Left After Failed Yield Router Deposit","fixed","Approval is now zeroed after each routed deposit attempt, including failure paths.","src/engine/modules/MarketEngineUserOpsClaimsModule.sol","test/engine/core/MarketEngineYieldRouting.t.sol:test_deposit_failedRouting_clears_router_allowance"
"13_EngineViewModule.md","high","Reentrancy Risk in _balanceDeltaAfterWithdrawScaled via Untrusted Yield Router","already fixed","Current external entrypoints invoking router interactions are `nonReentrant`; tested malicious-router paths are blocked or degraded safely.","src/engine/modules/MarketEngineUserOpsClaimsModule.sol;src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol","test/engine/security/MarketEngineReentrancy.t.sol"
"13_EngineViewModule.md","high","Uninitialized Proxy Vulnerability - configInitialized Can Be Bypassed via Module Storage Collision","already fixed","Implementation initialization is disabled; the remaining module-collision angle is an admin/module trust issue.","src/engine/MarketEngineDispatcher.sol","test/engine/core/MarketEngineManualTypes.t.sol:test_initialize_reverts_on_zero_addresses"
"GPT-5.4 attacker-mode audit","high","Manual cancel and manual resolve could proceed after yield-router shortfall, leaving claims underfunded or funds operationally stuck","fixed","Manual lifecycle now requires full routed-principal recovery before cancel/resolve can complete when router principal is involved.","src/engine/modules/MarketEngineCoreLifecycleModule.sol","test/engine/security/MarketEngineEmergencyRecovery.t.sol:test_cancelEpoch_routerRevert_requires_emergencyWithdraw_and_reconcile;test/engine/security/MarketEngineEmergencyRecovery.t.sol:test_resolveEpoch_routerRevert_requires_emergencyWithdraw_and_reconcile"
"GPT-5.4 attacker-mode audit","high","Rolling cancel while halted could proceed without full principal recovery","fixed","Halted rolling cancel now enforces full principal recovery before refund-mode cancellation.","src/engine/modules/MarketEngineRollingLifecycleModule.sol","test/engine/security/MarketEngineYieldRouterDisabledSafety.t.sol:test_cancelRollingWhileHalted_reverts_when_router_disabled_and_principal_still_routed;test/engine/security/MarketEngineLifecycleSecurity.t.sol:test_cancelRollingWhileHalted_withBrokenYieldRouter"
"GPT-5.4 attacker-mode audit","high","Yield-router replacement was possible while routed principal was still outstanding","fixed","Router replacement is blocked until outstanding routed principal is fully reconciled.","src/engine/modules/MarketEngineAdminModule.sol","test/engine/core/MarketEngineYieldRouting.t.sol:test_setYieldRouter_allows_change_after_emergency_recovery_and_reconcile"
"GPT-5.4 attacker-mode audit","high","Reconcile path could blind-book routed principal without proving recovered funds existed in-engine","fixed","Reconciliation now consumes only actual unreconciled recovered balances.","src/engine/modules/MarketEngineAdminModule.sol","test/engine/security/MarketEngineEmergencyRecovery.t.sol:test_cancelEpoch_routerRevert_requires_emergencyWithdraw_and_reconcile;test/engine/security/MarketEngineEmergencyRecovery.t.sol:test_resolveEpoch_routerRevert_requires_emergencyWithdraw_and_reconcile"
"GPT-5.4 attacker-mode audit","high","Emergency withdraw trusted router-reported returns instead of engine token balance delta","fixed","Emergency recovery now accounts by engine balance delta, preventing liar-router credit inflation.","src/engine/modules/MarketEngineAdminModule.sol","test/engine/security/MarketEngineEmergencyRecovery.t.sol:test_emergencyWithdraw_doesNotCredit_recovery_bucket_on_lying_router"
"GPT-5.4 attacker-mode audit","medium","Emergency recovery and routed-principal reconciliation were callable outside an explicit paused recovery window","fixed","Both admin recovery operations are now pause-gated.","src/engine/modules/MarketEngineAdminModule.sol","test/engine/security/MarketEngineEmergencyRecovery.t.sol:test_emergencyRecovery_reverts_when_protocol_not_paused;test/engine/core/MarketEngineAdminModuleBranches.t.sol:test_reconcileEpochRoutedPrincipal_reverts_when_protocol_not_paused"
"GPT-5.4 attacker-mode audit","high","Same-template operations could continue while unreconciled recovery was still pending","fixed","Pending recovery now blocks new user ops and rolling round execution until full reconcile.","src/engine/modules/MarketEngineUserOpsClaimsModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol","test/engine/security/MarketEngineEmergencyRecovery.t.sol:test_recoveryPending_blocks_rolling_userops_and_round_execution_until_full_reconcile"
"GPT-5.4 attacker-mode audit","medium","Disabled yield router could still receive fresh routed deposits","fixed","Deposit routing is now blocked once the router enters disabled state.","src/engine/modules/MarketEngineUserOpsClaimsModule.sol","test/engine/rolling/MarketEngineRollingOracle.t.sol:test_disabledRouter_blocks_new_routing_on_deposit"
"GPT-5.4 attacker-mode audit","medium","Disabled/failure state could be reset live, re-enabling an unhealthy router mid-operation","fixed","Failure-state reset is now pause-gated and same-router replacement no longer clears disabled state.","src/engine/modules/MarketEngineAdminModule.sol","test/engine/core/MarketEngineAdminModuleBranches.t.sol:test_resetYieldRouterFailures_requires_pause_after_disablement;test/engine/core/MarketEngineAdminModuleBranches.t.sol:test_setYieldRouter_sameRouter_doesNotClear_disabled_state"
"GPT-5.4 attacker-mode audit","high","Manual resolve and rolling recovery could still attempt settlement through a disabled router while principal remained routed","fixed","Settlement/cancel recovery now rejects disabled-router paths with outstanding routed principal.","src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol","test/engine/security/MarketEngineYieldRouterDisabledSafety.t.sol:test_manualResolve_reverts_when_router_disabled_and_principal_still_routed;test/engine/security/MarketEngineYieldRouterDisabledSafety.t.sol:test_cancelRollingWhileHalted_reverts_when_router_disabled_and_principal_still_routed"
"GPT-5.4 attacker-mode audit","medium","Protocol could unpause into known-bad disabled-router or unreconciled-recovery state","fixed","Unpause is now blocked until router-disabled and unreconciled-recovery conditions are cleared.","src/engine/modules/MarketEngineAdminModule.sol","test/engine/security/MarketEngineEmergencyRecovery.t.sol:test_cancelEpoch_routerRevert_requires_emergencyWithdraw_and_reconcile;test/engine/security/MarketEngineEmergencyRecovery.t.sol:test_resolveEpoch_routerRevert_requires_emergencyWithdraw_and_reconcile"
"GPT-5.4 attacker-mode audit","medium","Excess recovered yield from emergency unwind remained as unaccounted engine balance","fixed","Excess recovered balance is now booked to fee reserves after full principal reconcile.","src/engine/modules/MarketEngineAdminModule.sol","test/engine/security/MarketEngineEmergencyRecovery.t.sol:test_emergencyWithdraw_books_excess_recovered_yield_to_fees_after_full_reconcile"
"GPT-5.4 attacker-mode audit","high","Cross-template emergency withdraw misattribution could book another template's stranded principal into the wrong fee reserve and allow unsafe recovery progression","fixed","Excess recovered balance is no longer auto-booked while any routed principal remains globally outstanding; operators can explicitly reassign recovered balance to the correct template and then reconcile/finalize safely.","src/engine/modules/MarketEngineAdminModule.sol;src/engine/IMarketEngine.sol;src/engine/MarketEngineState.sol","test/engine/security/MarketEngineEmergencyRecovery.t.sol:test_crossTemplate_emergencyWithdraw_misattribution_cannot_be_cleared_by_booking_other_template_principal_to_fees;test/engine/security/MarketEngineEmergencyRecovery.t.sol:test_emergencyWithdraw_books_excess_recovered_yield_to_fees_after_full_reconcile"
"GPT-5.4 attacker-mode audit","medium","Global `yieldFeeBps` could be changed mid-epoch and retroactively alter payouts for already-open manual or rolling epochs","fixed","Each epoch now snapshots the yield fee at open, so later admin fee updates affect only future epochs.","src/engine/MarketEngineState.sol;src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol","test/engine/core/MarketEngineYieldRouting.t.sol:test_manualResolve_uses_epoch_snapshotted_yield_fee_after_mid_epoch_fee_change;test/engine/rolling/MarketEngineRollingOracle.t.sol:test_rollingResolve_uses_prev_epoch_snapshotted_yield_fee_after_mid_epoch_fee_change"
"GPT-5.4 attacker-mode audit","low","Emergency recovery admin flows allowed invalid destination templates, creating an operator path to blackhole recovered funds into unwithdrawable fee buckets","fixed","Recovery admin functions now validate initialized destination templates before emergency withdraw/finalize/reassignment can route balances into them.","src/engine/modules/MarketEngineAdminModule.sol","test/engine/security/MarketEngineEmergencyRecovery.t.sol:test_reassignRecoveredBalance_reverts_when_destination_template_invalid;test/engine/security/MarketEngineEmergencyRecovery.t.sol:test_yieldEmergencyWithdraw_reverts_for_invalid_template"
"GPT-5.4 attacker-mode audit","medium","Trusted-reporter clear operations allowed stale same-type signatures to be replayed immediately after owner correction","fixed","Per-market nonces are now included in lock/resolve/OHLC signed payloads and incremented on clear so pre-clear signatures cannot be replayed.","src/oracle/TrustedReporterAdapter.sol","test/adapters/TrustedReporterAdapterSecurity.t.sol:test_clearLockSample_invalidates_old_signature_and_allows_corrected_repost;test/adapters/TrustedReporterAdapterSecurity.t.sol:test_clearResolveResult_invalidates_old_signature_and_allows_corrected_repost;test/adapters/TrustedReporterAdapterSecurity.t.sol:test_clearOhlcResult_invalidates_old_signature_and_allows_corrected_repost"
"GPT-5.4 attacker-mode audit","medium","Trusted-reporter correction flow allowed stale cross-type signatures to be replayed after clearing the opposite resolution path","fixed","Clearing scalar resolve now also invalidates stale OHLC signatures for the same market, and clearing OHLC also invalidates stale scalar resolve signatures.","src/oracle/TrustedReporterAdapter.sol","test/adapters/TrustedReporterAdapterSecurity.t.sol:test_clearResolveResult_invalidates_stale_ohlc_signature_of_alternate_resolution_path;test/adapters/TrustedReporterAdapterSecurity.t.sol:test_clearOhlcResult_invalidates_stale_scalar_signature_of_alternate_resolution_path"
"GPT-5.4 attacker-mode audit","medium","Rotating the trusted reporter back to a previous key could revive old signatures from before the first rotation","fixed","Signed payloads now include a global reporter epoch that increments on every reporter rotation, invalidating all pre-rotation signatures.","src/oracle/TrustedReporterAdapter.sol","test/adapters/TrustedReporterAdapterSecurity.t.sol:test_reporter_rotation_back_to_previous_reporter_does_not_revive_old_signatures"
"GPT-5.4 attacker-mode audit","high","Rolling lifecycle could be reset while the halted active epoch or previous locked epoch was still uncleared","fixed","Reset now requires the halted active epoch and adjacent predecessor to be cleared first.","src/engine/modules/MarketEngineRollingLifecycleModule.sol","test/engine/rolling/MarketEngineRollingRecovery.t.sol:test_recovery_reset_reverts_when_halted_epoch_not_cleared;test/engine/rolling/MarketEngineRollingRecovery.t.sol:test_recovery_reset_reverts_when_previous_locked_epoch_still_uncleared"
"GPT-5.4 attacker-mode audit","medium","resetOracleCursor was callable during an active epoch, allowing live oracle continuity override","fixed","Cursor reset now reverts while the template's active epoch is still `Open` or `Locked`.","src/engine/modules/MarketEngineAdminModule.sol;src/engine/MarketEngineState.sol","test/engine/core/MarketEngineCoreMarketUpgrade.t.sol:test_reset_oracle_cursor_reverts_while_manual_epoch_locked;test/engine/rolling/MarketEngineRollingOracle.t.sol:test_reset_oracle_cursor_reverts_while_rolling_epoch_open"
"GPT-5.4 attacker-mode audit","medium","Oracle adapter replacement could change settlement source for already-open epochs","fixed","Each epoch now snapshots the concrete oracle adapter address at open; rolling execution halts if adjacent epochs would require mixing snapshots through one shared sample.","src/engine/MarketEngineState.sol;src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol;src/engine/modules/MarketEngineAdminModule.sol","test/engine/core/MarketEngineCoreMarketUpgrade.t.sol:test_paused_rate_oracle_replacement_does_not_change_active_epoch_source;test/engine/core/MarketEngineCoreMarketUpgrade.t.sol:test_rate_oracle_replacement_reverts_while_live_epoch_is_open;test/engine/rolling/MarketEngineRollingOracle.t.sol:test_rolling_halts_when_prev_and_cur_epoch_oracle_snapshots_differ;test/engine/security/MarketEngineOracleParity.t.sol:test_lock_uses_epoch_oracle_snapshot_after_template_changes"
"GPT-5.4 attacker-mode audit","low","Trusted-reporter clear operations lacked settlement-correction events, reducing operator visibility","fixed","Clear paths now emit events for correction observability.","src/oracle/TrustedReporterAdapter.sol","test/adapters/TrustedReporterAdapterSecurity.t.sol:test_clearOhlcResult_existsAndWorks"
"GPT-5.4 attacker-mode audit","high","Dispatcher module storage-compatibility marker can be spoofed by malicious allowlisted bytecode, enabling delegatecall storage corruption","governance risk","This is a real exploit path only after trusted admin allowlists/registers malicious module bytecode; it is not an unprivileged bug, but it remains a production-grade governance/module-onboarding risk intrinsic to the current modular architecture.","src/engine/MarketEngineDispatcher.sol;src/engine/MarketEngineState.sol;src/test/MaliciousLayoutModule.sol","test/engine/core/MarketEngineDispatcher.t.sol:test_malicious_layout_module_corrupts_stakeToken_via_delegatecall;test/engine/core/MarketEngineDispatcher.t.sol:testFork_malicious_layout_corrupts_stakeToken_when_rpc_set"
"GPT-5.4 attacker-mode audit","medium","Centralized admin can rewire modules, replace routers/oracles, and upgrade the dispatcher, so operational security is equivalent to privileged custody","governance risk","Intended by design for this deployment model; not a code bug, but launch readiness still depends on multisig discipline, upgrade controls, module artifact verification, and operational runbooks.","src/engine/MarketEngineDispatcher.sol;src/engine/modules/MarketEngineAdminModule.sol","test/engine/core/MarketEngineDispatcher.t.sol:test_revokeModule_blocks_delegatecall_path;test/engine/core/MarketEngineCoreMarketUpgrade.t.sol"
