doc,severity,finding,status,note,file,test
02_BroadInterfaces.md,high,Missing Signature Replay Protection in IEventOracle Signed Payload Settlement,false positive,"Current adapter stores one result per market/path and uses OZ ECDSA, so the claimed exploit is not reproduced in live code.",src/oracle/TrustedReporterAdapter.sol,test/adapters/TrustedReporterAdapter.t.sol
02_BroadInterfaces.md,high,Signature Malleability in Event Oracle Signed Payload Verification,false positive,"Current adapter stores one result per market/path and uses OZ ECDSA, so the claimed exploit is not reproduced in live code.",src/oracle/TrustedReporterAdapter.sol,test/adapters/TrustedReporterAdapter.t.sol
02_BroadInterfaces.md,high,Caller-Supplied nowTs Parameter Enables Freshness Check Bypass in IPriceOracle,false positive,Interface-level hypothetical; not true for the current adapter implementation.,src/interfaces/IPriceOracle.sol,test/adapters/ChainlinkAdapter.t.sol:test_revert_stale_even_if_caller_passes_fake_recent_nowTs
02_BroadInterfaces.md,high,Yield Router Withdrawal Return Value Trust Without Balance Verification,false positive,Current engine accounting uses balance-delta or explicit failure handling rather than blindly trusting router return values where it matters.,src/engine/MarketEngineState.sol;src/engine/modules/MarketEngineCoreLifecycleModule.sol,test/engine/core/MarketEngineYieldRouting.t.sol
02_BroadInterfaces.md,high,Missing Access Control on setTemplateYieldPath Allows Unauthorized Yield Path Changes,duplicate,Broad or overlapping high finding; the concrete underlying issue is tracked elsewhere in the matrix.,IYieldRouterV2.sol,
02_BroadInterfaces.md,medium,Precision Loss in IYieldRouterV2 Proportional Slice Calculation for withdrawScaled,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,IYieldRouterV2.sol,
02_BroadInterfaces.md,medium,Missing Monotonicity Enforcement for Oracle Round IDs Allows Stale Price Injection,governance risk,Operational/oracle-management concern rather than a confirmed live exploit in this repo.,IPriceOracleWithRoundId.sol,
02_BroadInterfaces.md,medium,MarketId Collision Risk Due to Unspecified positionKey Hash Construction,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,IEventOracle.sol,
02_BroadInterfaces.md,medium,Negative Price Values Not Validated in IPriceOracle and IEventOracle,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,IPriceOracle.sol,
02_BroadInterfaces.md,medium,IYieldRouterV2 Interface Inherits IYieldRouter Creating Dual Withdrawal Path Confusion,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,IYieldRouterV2.sol,
02_BroadInterfaces.md,medium,IYieldRouterV2.claimLmRewards Reward Token Distribution Not Specified,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,IYieldRouterV2.sol,
02_BroadInterfaces.md,low,Missing Data Source URI On-Chain Creates Unverifiable Settlement Claims,governance risk,Auditability/integration issue remains; not a direct steal path in current implementation.,src/oracle/TrustedReporterAdapter.sol,test/adapters/TrustedReporterAdapter.t.sol;test/adapters/TrustedReporterAdapterSecurity.t.sol
02_BroadInterfaces.md,low,Timestamp Dependence in Oracle Freshness Checks Enables Miner Manipulation,governance risk,Operational/oracle-management concern rather than a confirmed live exploit in this repo.,IPriceOracle.sol,
02_BroadInterfaces.md,low,Missing Interface Version Identifier Prevents Safe Upgrades and Integration,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,IYieldRouterV2.sol,
02_BroadInterfaces.md,low,IYieldRouterV2 globalScaledBalance Invariant Not Enforced by Interface,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,IYieldRouterV2.sol,
03_ResolverBroadMarket.md,high,Composite Market Uses Single Threshold for All Feeds - Critical Logic Error,already fixed,Current composite templates support per-feed thresholds and are covered by market-type tests.,src/types/MarketTypes.sol,test/markettype/MarketTypeAll15.t.sol:test_marketType_08b_composite_perFeedThresholds_majority
03_ResolverBroadMarket.md,high,Signature Replay Attack via clearLockSample/clearResolveResult - Oracle Data Manipulation,false positive,"Current adapter stores one result per market/path and uses OZ ECDSA, so the claimed exploit is not reproduced in live code.",src/oracle/TrustedReporterAdapter.sol,test/adapters/TrustedReporterAdapter.t.sol
03_ResolverBroadMarket.md,medium,Corridor Market Outcome Index Confusion - Incorrect Bound Assignment,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,SettlementLogic.sol,
03_ResolverBroadMarket.md,medium,Potential Overflow in resolveConvergence Band Calculation,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,Resolvers.sol,
03_ResolverBroadMarket.md,medium,YieldRouterAaveV3 Uses aToken Balance Delta Instead of Scaled Balance - Incorrect Share Accounting,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,YieldRouterAaveV3.sol,
03_ResolverBroadMarket.md,medium,resolveCascade Does Not Validate Bounds Array is Monotonically Increasing,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,Resolvers.sol,
03_ResolverBroadMarket.md,medium,TrustedReporterAdapter: OHLC Sample Can Override Resolve Sample Priority,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,TrustedReporterAdapter.sol,
03_ResolverBroadMarket.md,medium,YieldRouterV2 emergencyWithdraw Does Not Emit Event Before Potential Revert,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,YieldRouterV2.sol,
03_ResolverBroadMarket.md,low,YieldRouterAaveV3.emergencyWithdraw Passes aToken Shares as Underlying Amount to Aave withdraw(),governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,YieldRouterAaveV3.sol,
03_ResolverBroadMarket.md,low,globalScaledBalance State Variable Becomes Stale in Multi-Template Scenarios,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,YieldRouterV2.sol,
03_ResolverBroadMarket.md,low,resolveRangeClose Off-By-One: Boundary Value at rangeBoundsE8[0] Assigned to Wrong Bucket,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,Resolvers.sol,
03_ResolverBroadMarket.md,low,YieldRouterV2 StataToken Partial Withdrawal May Leave Dust Due to Share Rounding,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,YieldRouterV2.sol,
03_ResolverBroadMarket.md,low,Aave Reserve Configuration Bit Positions May Be Incorrect,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,YieldRouterV2.sol,
03_ResolverBroadMarket.md,low,Missing Validation: resolveVelocity Allows Zero Base Price Division,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,Resolvers.sol,
03_ResolverBroadMarket.md,low,YieldRouterV2 rescueToken Does Not Prevent Rescuing STAKE_TOKEN,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,YieldRouterV2.sol,
03_ResolverBroadMarket.md,low,Majority Logic in resolveComposite Uses Integer Division - Incorrect for Even Feed Counts,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,Resolvers.sol,
03_ResolverBroadMarket.md,low,Lack of Input Validation for OHLC Data: highE8 < lowE8 Not Checked,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,TrustedReporterAdapter.sol,
03_ResolverBroadMarket.md,gas,Gas Optimization: Redundant Storage Reads in computeClaimPayoutStorage,duplicate,"Gas-only optimization item, not a security remediation blocker.",MarketMath.sol,
03_ResolverBroadMarket.md,gas,Gas Optimization: Loop in resolveRangeClose Starts at i=1 But Could Start at i=0 with Bounds Check,duplicate,"Gas-only optimization item, not a security remediation blocker.",Resolvers.sol,
03_ResolverBroadMarket.md,informational,Informational: TrustedReporterAdapter Single Point of Failure - Centralization Risk,governance risk,Architectural trust/governance risk remains; not eliminated by code-level remediation.,TrustedReporterAdapter.sol,
04_MarketEngineState.md,critical,MODULE_STORAGE_COMPATIBILITY_ID Check is Trivially Bypassable - Malicious Module Can Corrupt All Storage,duplicate,Overlaps with the dispatcher/module trust-boundary findings already captured elsewhere.,MarketEngineState.sol,
04_MarketEngineState.md,high,Reentrancy in _balanceDeltaAfterWithdrawScaled via Malicious/Compromised Yield Router,already fixed,Current external entrypoints invoking router interactions are `nonReentrant`; tested malicious-router paths are blocked or degraded safely.,src/engine/modules/MarketEngineUserOpsClaimsModule.sol;src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol,test/engine/security/MarketEngineReentrancy.t.sol
04_MarketEngineState.md,high,Vault Active Balance Can Underflow if claimLiabilityTotal + settlementFeeTotal Exceeds Active Balance,already fixed,Current resolve accounting performs explicit active-vault sufficiency checks before deductions.,src/engine/MarketEngineState.sol,test/engine/core/MarketEngineDispatcher.t.sol
04_MarketEngineState.md,high,Single-Threshold Used for All Composite Feeds - Incorrect Settlement for Multi-Feed Markets,already fixed,Current composite templates support per-feed thresholds and are covered by market-type tests.,src/types/MarketTypes.sol,test/markettype/MarketTypeAll15.t.sol:test_marketType_08b_composite_perFeedThresholds_majority
04_MarketEngineState.md,high,nowTs Parameter in IPriceOracle Can Be Spoofed by Callers to Bypass Staleness Checks,already fixed,Current adapter path rejects stale data and does not allow practical spoofed freshness in this repo.,src/adapters/ChainlinkAdapter.sol,test/adapters/ChainlinkAdapter.t.sol:test_revert_stale_even_if_caller_passes_fake_recent_nowTs
04_MarketEngineState.md,high,Corridor Market Type Has No Refund/Void Mode - Zero-Winning-Pool Scenario Causes Stuck Funds,false positive,Current settlement/claim paths did not reproduce the claimed stuck-funds scenario in tests; broad claim is overstated.,src/logic/SettlementLogic.sol;src/math/MarketMath.sol,test/markettype/MarketTypeAll15.t.sol;test/math/MarketMath.t.sol
04_MarketEngineState.md,high,Uninitialized UUPS Proxy Attack Vector - Admin Address Defaults to address(0),already fixed,Dispatcher constructor disables initializers and admin checks require initialization.,src/engine/MarketEngineDispatcher.sol,test/engine/core/MarketEngineManualTypes.t.sol:test_initialize_reverts_on_zero_addresses
04_MarketEngineState.md,medium,Checkpoint B Monotonicity Only Checks Against Checkpoint A - Allows Replay of Old Prices at Resolution,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketTypes.sol,
04_MarketEngineState.md,medium,Composite Market Uses Single absoluteThresholdValueE8 for All Feeds - Missing Per-Feed Threshold Storage,already fixed,Current composite implementation supports per-feed thresholds and is covered by market type tests.,src/types/MarketTypes.sol,test/markettype/MarketTypeAll15.t.sol:test_marketType_08b_composite_perFeedThresholds_majority
04_MarketEngineState.md,medium,YieldRouterBalanceInvariant Revert Can Permanently Brick Epoch Resolution,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineState.sol,
04_MarketEngineState.md,medium,Ladder Market Winner Index Selection Uses First Winning Bit - Incorrect for Multi-Winner Scenarios,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,SettlementLogic.sol,
04_MarketEngineState.md,low,MIN_MANUAL_DEPOSIT_WINDOW and MIN_MANUAL_LOCK_WINDOW Are Only 10 Seconds - Susceptible to Timestamp Manipulation,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineState.sol,
04_MarketEngineState.md,low,templateIdFromSlug Collision Risk - Two Different Slugs Can Produce the Same templateId,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineState.sol,
04_MarketEngineState.md,low,Storage Gap __gap[41] May Be Insufficient for Future Upgrades Given Large State Variable Count,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineState.sol,
04_MarketEngineState.md,low,configInitialized Flag Not Checked in onlyAdmin Modifier - Admin Functions Callable Before Initialization,already fixed,Initialization is protected and admin/auth paths reject uninitialized state.,src/engine/MarketEngineDispatcher.sol;src/engine/MarketEngineState.sol,test/engine/core/MarketEngineManualTypes.t.sol
04_MarketEngineState.md,gas,Gas Optimization: _setRemainingWinningStake Iterates Full outcomeCount Even for Single-Winner Markets,duplicate,"Gas-only optimization item, not a security remediation blocker.",MarketEngineState.sol,
04_MarketEngineState.md,gas,Gas Optimization: Redundant winningOutcomeMask Assignment in SettlementLogic.compute,duplicate,"Gas-only optimization item, not a security remediation blocker.",SettlementLogic.sol,
04_MarketEngineState.md,informational,Informational: positionKey Uses abi.encodePacked with Fixed-Width Types - Correctly Documented but Worth Noting,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineState.sol,
04_MarketEngineState.md,informational,Informational: IYieldRouterV2 Interface Allows Implementations to Silently Return 0 from withdrawScaled,duplicate,Informational item; not a remediation blocker for the current codebase.,IYieldRouterV2.sol,
05_modules.md,high,"Oracle Cursor State Persists After Oracle Adapter Replacement, Enabling Stale Data Bypass",fixed,"Added explicit admin recovery hook `resetOracleCursor(templateId, feedId)` after adapter swap.",src/engine/modules/MarketEngineAdminModule.sol,test/engine/core/MarketEngineCoreMarketUpgrade.t.sol:test_admin_can_reset_oracle_cursor_after_adapter_swap
05_modules.md,high,cancelRollingEpochWhileHalted Does Not Withdraw Yield Router Principal Before Cancellation,already fixed,Current rolling cancel path attempts yield withdrawal before setting refund liability.,src/engine/modules/MarketEngineRollingLifecycleModule.sol,test/engine/security/MarketEngineLifecycleSecurity.t.sol:test_cancelRollingWhileHalted_withBrokenYieldRouter
05_modules.md,high,Vault Active Balance Can Underflow When Yield Router Returns Less Than Principal,already fixed,Current resolve accounting performs explicit active-vault sufficiency checks before deduction.,src/engine/MarketEngineState.sol,forge test
05_modules.md,medium,Duplicate Storage Mappings in MarketEngineState Create Silent Storage Collision,duplicate,Same underlying storage-layout duplication issue appears in multiple Hashlock docs.,src/engine/MarketEngineState.sol;src/engine/MarketEngineDispatcher.sol,test/engine/core/MarketEngineDispatcher.t.sol
05_modules.md,medium,ReentrancyGuardTransient Slot Collision Between Dispatcher and Modules via Delegatecall,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineCoreLifecycleModule.sol,
05_modules.md,medium,Yield Router Deposit Approval Race Condition via forceApprove,fixed,Router allowance is now zeroed after each routed deposit attempt.,src/engine/modules/MarketEngineUserOpsClaimsModule.sol,test/engine/core/MarketEngineYieldRouting.t.sol:test_deposit_failedRouting_clears_router_allowance
05_modules.md,medium,Module Code Hash Check Can Be Bypassed via Metamorphic Contract Pattern,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineDispatcher.sol,
05_modules.md,medium,"Template Can Be Updated While Active Epoch Is Open, Changing Settlement Parameters Mid-Epoch",duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineCoreLifecycleModule.sol,
05_modules.md,medium,switchSide Does Not Update vault.active When Fee Is Withdrawn From Yield Router,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineUserOpsClaimsModule.sol,
05_modules.md,medium,Missing Admin Transfer Mechanism Creates Single Point of Failure,governance risk,Architectural trust/governance risk remains; not eliminated by code-level remediation.,MarketEngineAdminModule.sol,
05_modules.md,low,"withdrawFees Does Not Check Vault Balance, Only Ledger Reserve - Potential Accounting Divergence",governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineAdminModule.sol,
05_modules.md,low,Rolling Epoch Opens With Past Timing When executeRollingRound Is Called Late,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineRollingLifecycleModule.sol,
05_modules.md,low,"claimMany Emits Claimed Events Before Transfer, Enabling Misleading Event Ordering",governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineUserOpsClaimsModule.sol,
05_modules.md,low,getUserEpochs Pagination Returns Incorrect nextCursor When size=0,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineViewModule.sol,
05_modules.md,low,Hardcoded SELECTOR_SET_SELECTOR_MODULE Constant May Not Match Actual Function Selector,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineDispatcher.sol,
05_modules.md,gas,"Gas Optimization: _enforceApprovedModule Called Twice Per Delegatecall (Once in _delegateForSelector, Once Implicitly)",duplicate,"Gas-only optimization item, not a security remediation blocker.",MarketEngineDispatcher.sol,
05_modules.md,informational,Missing Validation That epochId Matches Template's Expected Next Epoch in cancelEpoch,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineCoreLifecycleModule.sol,
05_modules.md,informational,genesisStartRolling Emits Incorrect lockAt and resolveAt in RollingGenesisStarted Event,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineRollingLifecycleModule.sol,
05_modules.md,informational,Corridor Market Validation Loop Has Off-By-One Error,duplicate,Informational item; not a remediation blocker for the current codebase.,MarketEngineCoreLifecycleModule.sol,
06_ChainlinkOracle.md,high,Arbitrary Feed Address Injection via Unvalidated feedId — Malicious Price Oracle Attack,duplicate,Broad or overlapping high finding; the concrete underlying issue is tracked elsewhere in the matrix.,ChainlinkAdapter.sol,
06_ChainlinkOracle.md,high,Incorrect Decimal Configuration Causes Silent Catastrophic Mispricing,duplicate,Broad or overlapping high finding; the concrete underlying issue is tracked elsewhere in the matrix.,ChainlinkAdapter.sol,
06_ChainlinkOracle.md,medium,No Mechanism to Remove or Disable a Feed — Permanent DoS Risk for Deprecated Feeds,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,ChainlinkAdapter.sol,
06_ChainlinkOracle.md,medium,Sequencer Feed Staleness Not Validated — Stale Sequencer Status Could Bypass Downtime Detection,governance risk,Operational/oracle-management concern rather than a confirmed live exploit in this repo.,ChainlinkAdapter.sol,
06_ChainlinkOracle.md,low,uint64 Truncation of publishTime for Timestamps Beyond Year 2554,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,ChainlinkAdapter.sol,
06_ChainlinkOracle.md,low,Precision Loss in _normalizeToE8 When Downscaling from Higher Decimals,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,ChainlinkAdapter.sol,
06_ChainlinkOracle.md,low,No Validation That feedId Encodes a Contract Address (Call to EOA or Non-Existent Address),governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,ChainlinkAdapter.sol,
06_ChainlinkOracle.md,low,Missing Round Completeness Check for Sequencer Feed,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,ChainlinkAdapter.sol,
06_ChainlinkOracle.md,gas,Gas Optimization: Cache _feedDecimals Lookup Could Be Avoided With Auto-Fetch Pattern,duplicate,"Gas-only optimization item, not a security remediation blocker.",ChainlinkAdapter.sol,
06_ChainlinkOracle.md,informational,Duplicate Code Between getNormalizedPrice and getNormalizedPriceWithRoundId — Maintenance Risk,duplicate,Informational item; not a remediation blocker for the current codebase.,ChainlinkAdapter.sol,
06_ChainlinkOracle.md,informational,Sequencer Grace Period Check Uses Strict Inequality — Edge Case at Exact Grace Period Boundary,duplicate,Informational item; not a remediation blocker for the current codebase.,ChainlinkAdapter.sol,
06_ChainlinkOracle.md,informational,No Event Emitted When Feed Decimals Are Reconfigured — Missing Old Value in Event,duplicate,Informational item; not a remediation blocker for the current codebase.,ChainlinkAdapter.sol,
06_ChainlinkOracle.md,informational,Redundant Staleness Check — Double Validation of updatedAt > tNow,governance risk,Operational/oracle-management concern rather than a confirmed live exploit in this repo.,ChainlinkAdapter.sol,
06_ChainlinkOracle.md,informational,IPriceOracle Interface Does Not Enforce nowTs Ignorance — Future Adapter Implementations May Be Vulnerable,duplicate,Informational item; not a remediation blocker for the current codebase.,IPriceOracle.sol,
07_TrustedOracleAdapter.md,critical,Centralized Single Trusted Reporter — Complete Oracle Compromise on Key Leak,governance risk,Architectural trust/governance risk remains; not eliminated by code-level remediation.,TrustedReporterAdapter.sol,
07_TrustedOracleAdapter.md,high,Missing clearOhlcResult Function — Permanently Stuck Incorrect OHLC Settlement,already fixed,`clearOhlcResult` exists in the adapter and is covered by tests.,src/oracle/TrustedReporterAdapter.sol,test/adapters/TrustedReporterAdapterSecurity.t.sol:test_clearOhlcResult_existsAndWorks
07_TrustedOracleAdapter.md,high,Immediate Trusted Reporter Rotation Without Timelock Enables Instant Oracle Manipulation,governance risk,Architectural trust/governance risk remains; not eliminated by code-level remediation.,TrustedReporterAdapter.sol,
07_TrustedOracleAdapter.md,medium,No Events Emitted on clearLockSample and clearResolveResult — Silent State Manipulation,governance risk,Auditability/integration issue remains; not a direct steal path in current implementation.,src/oracle/TrustedReporterAdapter.sol,test/adapters/TrustedReporterAdapter.t.sol;test/adapters/TrustedReporterAdapterSecurity.t.sol
07_TrustedOracleAdapter.md,medium,Owner Can Re-Settle Markets by Clearing and Re-Posting Oracle Results,governance risk,Auditability/integration issue remains; not a direct steal path in current implementation.,src/oracle/TrustedReporterAdapter.sol,test/adapters/TrustedReporterAdapter.t.sol;test/adapters/TrustedReporterAdapterSecurity.t.sol
07_TrustedOracleAdapter.md,low,Signature Age Validation Uses observedAt (Reporter-Attested) Rather Than Submission Timestamp,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,TrustedReporterAdapter.sol,
07_TrustedOracleAdapter.md,low,OHLC Validation Does Not Reject Negative Values for Price Markets,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,TrustedReporterAdapter.sol,
07_TrustedOracleAdapter.md,low,marketId Derivation Uses abi.encodePacked in Interface — Potential Integration Confusion,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,IEventOracle.sol,
07_TrustedOracleAdapter.md,low,Front-Running of Reporter Transactions — Griefing via Signature Replay,false positive,"Current adapter stores one result per market/path and uses OZ ECDSA, so the claimed exploit is not reproduced in live code.",src/oracle/TrustedReporterAdapter.sol,test/adapters/TrustedReporterAdapter.t.sol
07_TrustedOracleAdapter.md,low,maxSignatureAgeSeconds Can Be Set to Minimum 60 Seconds — Fragile Under Network Congestion,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,TrustedReporterAdapter.sol,
07_TrustedOracleAdapter.md,gas,Gas Optimization: Redundant Storage Read in postResolveResult,duplicate,"Gas-only optimization item, not a security remediation blocker.",TrustedReporterAdapter.sol,
07_TrustedOracleAdapter.md,gas,Gas Optimization: written Flag Placement in Struct Causes Inefficient Storage Packing,duplicate,"Gas-only optimization item, not a security remediation blocker.",TrustedReporterAdapter.sol,
07_TrustedOracleAdapter.md,informational,Informational: getDataSource Always Returns Empty String — Breaks Interface Contract,governance risk,Auditability/integration issue remains; not a direct steal path in current implementation.,src/oracle/TrustedReporterAdapter.sol,test/adapters/TrustedReporterAdapter.t.sol;test/adapters/TrustedReporterAdapterSecurity.t.sol
07_TrustedOracleAdapter.md,informational,Informational: No Validation That observedAt Is Within Reasonable Historical Range,duplicate,Informational item; not a remediation blocker for the current codebase.,TrustedReporterAdapter.sol,
08_AaveV3YieldRouterV2.md,high,rescueToken Allows Owner to Steal StataToken Shares from All Templates,already fixed,`rescueToken` blocks `STATA_TOKEN` alongside stake and aToken.,src/yield/YieldRouterV2.sol,test/yield/YieldRouterV2Security.t.sol:test_rescueToken_cannotDrainStataToken
08_AaveV3YieldRouterV2.md,high,emergencyWithdraw Callable by Owner Without Timelock Enables Rug Vector,duplicate,Broad or overlapping high finding; the concrete underlying issue is tracked elsewhere in the matrix.,YieldRouterV2.sol,
08_AaveV3YieldRouterV2.md,medium,Fee-on-Transfer Token Accounting Mismatch Causes Principal Inflation and Insolvency,governance risk,Real integration/model risk or interface tradeoff remains; not resolved in this pass.,src/yield/YieldRouterV2.sol,test/yield/YieldRouterV2.t.sol;test/yield/YieldRouterV2Security.t.sol
08_AaveV3YieldRouterV2.md,medium,Hardcoded Aave v3 ReserveConfigurationMap Bit Offsets May Silently Fail on Forks,governance risk,Real integration/model risk or interface tradeoff remains; not resolved in this pass.,src/yield/YieldRouterV2.sol,test/yield/YieldRouterV2.t.sol;test/yield/YieldRouterV2Security.t.sol
